ENGLISH_NAME,KOREAN_NAME,IATA_CODE,ICAO_CODE
Baker Island Airport,베이커 아일랜드 공항,,PBAR
Johnston Island Airport,존스튼 아일랜드 공항,,
Rota International Airport,로타 국제공항,ROP,PGRO
Sand Island Airport,샌드 아일랜드 공항,MDY,PMDY
Wake Island Air Base,웨이크 아일랜드 에어베이스,AWK,PWAK
Andizhan Airport,안디잔 공항,AZN,UTFA
Bukhara Airport,부하라한국 공항,BHK,UTSB
Fergana Airport,페르가나 공항,FEG,UTFF
Karshi Airport,카르시 공항,KSQ,UTSK
Karshi Khanabad Airport,카쉬 카나바드 공항,,UTSL
Namangan Airport,나망간 공항,NMA,UTFN
Nukus Airport,누쿠스 공항,NCU,UTNN
Samarkand Airport,사마르칸트 공항,SKD,UTSS
Termez Airport,테르메스 공항,TMJ,UTST
Urgench Airport,우르겐치 공항,UGC,UTNU
Yuzhny Airport,유즈니 공항,IWA,UUBI
Aniwa Airport,아니와 공항,AWD,NVVB
Bauerfield Airport,보어필드 공항,VLI,NVVV
Craig Cove Airport,크레이그코브 공항,CCV,NVSF
Dillon's Bay Airport,딜론스베이 공항,DLY,NVVD
Futuna Airport,푸투나 공항,FTA,NVVF
Ipota Airport,이포타 공항,IPA,NVVI
Lamen-Bay Airport,라멘 베이 공항,LNB,NVSM
Longana Airport,론가나 공항,LOD,NVSG
Lonorore Airport,로노로레 공항,LNE,NVSO
Maewo-Naone Airport,마외 니오니 공항,MWF,NVSN
Malekoula Island Airport,말렉쿨라 아일랜드 공항,LPM,NVSL
Norsup Airport,노르섭 공항,NUS,NVSP
Pekoa Airport,페코아 공항,SON,NVSS
Quoin Hill Airport,쿠온 힐 공항,UIQ,NVVQ
Redcliffe Airport,레드클리프 공항,RCL,NVSR
Sangafa Airport,사가파 공항,EAE,NVSE
Sara Airport,사라 공항,SSR,NVSH
South West Bay Airport,사우스웨스트베이 공항,SWJ,NVSX
Tongoa Airport,통고아 공항,TGH,NVST
Ulei Airport,울라이 공항,ULB,NVSU
Valesdir Airport,바레스디 공항,VLS,NVSV
Vanua Lava Island Airport,반누나 라바 아일랜드 공항,SLH,NVSC
Walaha Airport,왈라하 공항,WLH,NVSW
White Grass Airport,화이트 그래스 공항,TAH,NVVW
Cam Ranh Airport,캄 라흐 공항,CXR,VVCR
Catbi Airport,카트비 공항,HPH,VVCI
Chulai Airport,쿨라이 공항,VCL,
Coong Airport,쿠웅 공항,VCS,VVCS
Duong Dang Airport,두옹 당 공항,PQC,VVPQ
Gialam Airport,지알람 공항,DIN,VVDB
Lienkhang Airport,리엥캥 공항,DLI,VVDL
Na-San Airport,나 산 공항,SQH,VVNS
Nha Trang Airport,나트랑 공항,,
Noi bai International Airport,노이 바이 공항,HAN,VVNB
Phu Bai Airport,푸 바이 공항,HUI,VVPB
Phung-Duc Airport,풍 ? 공항,BMV,VVBM
Tan Son Nhat Airport,탄 손 낫 공항 ( 떤셔너트 ),SGN,VVTS
Vung Tau Airport,붕타우 공항,VTG,VVVT
Ca Mau Airport,카마우 공항,CAH,VVCM
Cam Ly Airport,캄 라이 공항,,VVCL
Da Nang International Airport,다낭 국제공항,DAD,VVDN
Dong Tac Airport,동 탁 공항,TBB,VVTH
Gia Lam Airbase,지아 람 공군기지,,VVGL
Phan Thiet Airport,판티엣 공항,PHH,VVPT
Phu Cat Airport,푸 캇 공항,UIH,VVPC
Pleiku Airport,플레이쿠 공항,PXU,VVPK
Rach Gia Airport,라츠지아 공항,VKG,VVRG
Tra Noc Airport,트라 녹 공항,VCA,VVCT
Vinh Airport,비니 공항,VII,VVVH
Hihifo Airport,히히포 공항,WLS,NLWW
Maopoop Airport (Futuna Pointe Vele Airport),마오풉푸 (푸투나 폰타베레) 공항,FUT,NLWF
Dakhla Airport,다클라 공항,VIL,GMMH
Smara Airport,스마라 공항,SMW,GMMA
Gjader Airport,쟈데 공항,,LAGJ
Korce Northwest Airport,코어스 노스웨스트 공항,,LAKO
Kucove Airport,쿠초브 공항,,LAKV
Kukes Airport,쿠커스 공항,,LAKU
Sarande Airport,샤랑데 공항,,LASR
Shkoder Airport,슈코데르 공항,,LASK
Tirana Rinas Airport ( Mother Teresa ),티라나 리냐스 공항  ( 마더 테레사 ),TIA,LATI
Tirane Mil Hel Airport,티라나 밀헬 공항,,LAFK
Vlore Airport,블로라 공항,,LAVL
Erebuni Airport,에레부니 공항,,UDYE
Shirak International Airport,쉬락 국제공항,LWN,UDSG
Stepanavan Airport,스테파나반 공항,,UDLS
Zvartnots International Airport (Yerevan Airport),즈바노츠 국제공항 (여반),EVN,UDYZ
Blue Danube  Airport (Hoersching Airport),블루 다뉴브  공항 (후어싱 공항 ),LNZ,LOWL
Klagenfurt Airport,클라겐푸르트 공항,KLU,LOWK
Kranebitten Airport,크래인비튼 공항,INN,LOWI
Thalerhof Airport,탤러호프 공항,GRZ,LOWG
Vienna International Airport,비엔나 국제공항,VIE,LOWW
W.A. Mozart Airport,W.A 모자르트 공항,SZG,LOWS
Woergl Bs Airport,외겔 기지공항 (오프라인),QXZ,
Brest Airport,브레스트 공항,BQT,UMBB
Gomel Airport,고멜 공항,GME,UMGG
Grodno Airport,그로드노 공항,GNA,UMMG
Minsk International 1 Airport,민스크 1 국제공항,MHP,UMMM
Minsk International 2 Airport,민스크 2 국제공항,MSQ,UMMS
Mogilev Airport,모길레브 공항,MVQ,UMOO
Vostochny Airport,보스토츄니 공항,VTB,UMII
Antwerpen International Airport (Deurne) (Antwerp-Brussels North),앤트워프 국제공항 ( 던도 ) (앤트워프 브뤼셀 노스),ANR,EBAW
Balen-Keiheuvel Airport,벨런 케이후벌 공항,,EBKH
Beauvechain AB,보베케인 에어베이스,,EBBE
Liege Airport (formerly Bierset Airport),리에주 공항 (구> 비어셋 공항),LGG,EBLG
Brasschaat AB,브라스흐히트 에어베이스,,EBBT
Brussels Airport ( Melsbroek  ) (Brussels National Airport),브뤼셀 내셔널 공항  ( 말스뵈뢰 ),BRU,EBBR
Charleroi Airport (Brussels South Charleroi Airport ),챨레로이 공항 (브뤼셀 사우스 샬레로이 공항),CRL,EBCI
Chievres AB (U.S. Air Force),취브스 에어베이스,,EBCV
Florennes AB,플로랑 에어베이스,,EBFS
Goetsenhoven AB,고우츠흔호븐 에어베이스,,EBTN
Hasselt Airport,하셀트 공항,,EBZH
Hoevenen Airport,호이프넨 공항,,EBHN
Jehonville AB,베르트릭스 에어베이스,,EBBX
Kleine-Brogel AB,클라인 브로절 에어베이스,,EBBL
Koksijde AB,콕새드 에어베이스,,EBFN
Wevelgem Airport (Kortrijk Airport),위벨겜 공항 (코트직 공항),KJK,EBKT
La Sauveniere Airport,라 소브니르 공항,,EBSP
Lint Airport,린트 공항,,EBGB
Maubray Airport,마브레이 공항,,EBTY
Melsbroek AB,말스브뢰 공항,,EBMB
Oostmalle AB,주어슬 에어베이스,,EBZR
Ostend-Bruges International Airport,오스텐 브루즈 국제공항,OST,EBOS
Saint-Hubert AB,상 위베르 에어베이스,,EBSU
Saint-Hubert Airport,상 위베르 공항,,EBSH
Sint-Truiden AB,신트 트루이덴 에어베이스,,EBST
Suarlee Airport,스월리 공항,,EBNM
Ursel AB,어셀 에어베이스,,EBUL
Verviers Airport,버비어스 공항,,EBTX
Weelde AB,윌다 에어베이스,,EBWE
Zutendaal AB,자우텐달 에어베이스,,EBSL
Zwartberg Airport,즈?버그 공항,,EBZW
Banja Luka International Airport,바냐루카 국제공항,BNX,LQBK
Banja Luka International Airport  (Banja Luka Zaluzani Airport),바나루카 국제공항 (바냐루카 잘루자니 공항),,LQBZ
Bihac Airport,비하치 공항,,LYBI
Butmir Airport,부트미르 공항,SJJ,LQSA
Coralici Airport,코랄리치 공항,,LQCO
Glamoc Airport,글라모치 공항,,LQGL
Kupres Bajramovici Airport,쿠프리스 바즈라모비치 공항,,LQKU
Livno Airport,리브노 공항,,LQLV
Mostar International Airport,모스타르 국제공항,OMO,LQMO
Mostar Jasenica Airport,모스타르 재스니카 공항,,LQMJ
Novi Trstenik Airport,노비 트르스테니크 공항,,LQTR
Prijedor Airport,프리예도르 공항,,LQPD
Sarajevo Military Airport,사라예보 밀리터리 공항,,LQSV
Tomislavgrad Airport,토미슬라프그라드 공항,,LQTG
Tuzla International Airport,투즐라 국제공항,TZL,LQTZ
Tuzla Jegen Lug Airport,투즐라 지젠 럭 공항,,LQJL
Visoko Airport,비소코 공항,,LQVI
Burgas International Airport (Sarafovo) (Bourgas),부르가스 국제공항 (사라포바 ),BOJ,LBBG
Gorna Oryahovitsa Airport,고르나오레쵸비사 공항,GOZ,LBGO
Krumovo International Airport (the former Plovdiv ),쿠루모포 국제공항 (구> 플로브디브 ),PDV,LBPD
Varna International Airport,바르나 국제공항,VAR,LBWN
Sofia Airport (formerly Vrazhdebna Airport),소피아 공항 (구>브라즈데브나 공항),SOF,LBSF
Targovishte Airport ((Bukhovtsi Airport),,TGV,LBTG
Kolyu Ganchevo Airport (Stara Zagora Airport),콜류 간체포 공항 (스타라 자고라 공항),SZR,LBSZ
Polkovnik Lambrinovo Airport (Silistra Airport ),폴코프닉  람브리노포 공항 (실리스트라 공항),SLS,LBSS
Shtraklevo Airport (Ruse Airport) (Rousse Airport),쉬트라클레포 공항 (루스 공항),ROU,LBRS
Bol Airport,볼 공항,BWK,LDSB
Borovo Airport,보로보 공항,,LDOB
Cakovec Airport,차코베츠 공항,,LDVC
Cepin Airport,세핀 공항,,LDOC
Daruvar Airport,다루바르 공항,,LDDA
Dubrovnik Airport,두브로브니크 공항,DBV,LDDU
Grobnicko Polje Airport,그롭니크 공항,,LDRG
Hvar Airport,흐바르 공항,,LDSH
Koprivnica Airport,코프리브니차 공항,,LDVK
Losinj International Airport,로시니 국제공항,LSZ,LDLO
Medulin Airport,메둘린 공항,,LDPM
Osijek Airport,오시예크 공항,OSI,LDOS
Otocac Airport,오토차츠 공항,,LDRO
Pleso Airport,플레소 공항,ZAG,LDZA
Ploce Airport,플로체 공항,,LDDP
Pula Airport,풀라 공항,PUY,LDPL
Rijeka Airport,리예카 공항,RJK,LDRI
Sepurine Training Base,세푸린 공항,,LD57
Sinj Airport,신 공항,,LDSS
Slavonski Brod Airport,슬라본스키브로드 공항,,LDOR
Split Airport,스플리트 공항,SPU,LDSP
Udbina Airport,웁디나 공항,,LDZU
Unije Airport,우니예 공항,,LDPN
Varazdin Airport,바라친 공항,,LDVA
Vrsar Airport,브르사르 공항,,LDPV
Zadar Airport,자다르 공항,ZAD,LDZD
Zagreb ACC Airport,자그레브 ACC,,LDZO
Zagreb AFTN Airport,자그레브 AFTB,,LDDD
Zagreb City Airport,자그레브 시티 공항,,LDZG
Zagreb Lucko Airport (Zagreb Luka),자그레브 뤽코 공항,,LDZL
Ercan International Airport,에르칸 국제공항,ECN,LCEN
Larnaca International Airport,라르나카 /라나카 국제공항,LCA,LCLK
Nicosia International Airport,니코시아 국제공항,NIC,LCNC
Paphos International Airport,파포스 국제공항,PFO,LCPH
RAF Akrotiri,아크로티리 공군기지,AKT,LCRA
Breclav Airport,브르제츨라프 공항,,LKBA
Broumov Airport,브로우모프 공항,,LKBR
Bubovice Airport,부보비체 공항,,LKBU
Ceska Lipa Airport,체스카리파 공항,,LKCE
Chomutov Airport,호무토프 공항,,LKCH
Chotebor Airport,호테보르시 공항,,LKCT
Benesov Airport,베네쇼프 공항,,LKBE
Zabreh Airport (Dolni Benesov Airport),자브르제흐 공항 (돌니 베네쇼프공항),ZBE,LKZA
Dvur Kralove nad Labem Airport,드부르크랄로베나트라벰 공항,,LKDK
Gavle  Railway Station,갈레 레일웨이 스테이션,XJC,
Havlickuv Brod Airport,하블리치쿠프브로트 공항,,LKHB
Hodkovice nad Mohelkou Airport,호토비체 나드 모헬코 공항,,LKHD
Holesov Airport,홀레쇼프 공항,GTW,LKHO
Horice Airport,호르지체 공항,,LKHC
Hranice Airport,흐라니체 공항,,LKHN
Jaromer Airport,이로머 공항,,LKJA
Jicin Airport,이친 공항,,LKJC
Jihlava Airport,이흘라바 공항,,LKJI
Jindrichuv Hradec Airport,인드르지후프흐라데츠 공항,,LKJH
Karlovy Vary International Airport,카를로비바리 국제공항,KLV,LKKV
Kladno Airport,클라드노 공항,,LKKL
Klatovy Airport,클라토비 공항,,LKKT
Kolin Airport,콜린,,LKKO
Krizanov Airport,큰자노프 공항,,LKKR
Kunovice Airport,쿠노비체 공항,UHE,LKKU
Kyjov Airport,키요프 공항,,LKKY
Letkov Airport,레쵸프 공항,,LKPL
Letnany Airport,레츠나니 공항,,LKLT
Marianske Lazne Airport,마리안스케라즈네 공항,,LKMR
Medlanky Airport,메들란키 공항,,LKCM
Mikulovice Airport,미쿠로비체 공항,,LKMI
Mlada Boleslav Airport,믈라다볼레슬라프 공항,,LKMB
Mnichovo Hradiste Airport,민초보 흐라디체 공항,,LKMH
Moravska Trebova Airport,모라프스카트르제보바 공항,,LKMK
Ostrava Leos Janacek Airport (formerly Mosnov),오스트라바 레오 자냐체크 공항 (구>모스노프),OSR,LKMT
Most Airport,모스트 공항,,LKMO
Nove Mesto Airport,노베 메스토 공항,,LKNM
Olomouc Airport,올로모우츠 공항,OLO,LKOL
Olomouc Railway Station,올로모츠 레일웨이 스테이션,XJP,
Pardubice Airport,파르두비체 공항,PED,LKPD
Pardubice Railway Station,파두비체 레일웨이 스테이션,XJV,
Plasy Airport,플라시 공항,,LKPS
Podhorany Airport,포도하니 공항,,LKPN
Policka Airport,폴리치카 공항,,LKPA
Pribram Airport,프르지브람 공항,,LKPM
Pribyslav Airport,프리비슬라프 공항,,LKPI
Rakovnik Airport,라코브니크 공항,,LKRK
Rana u Loun Airport,라나 우 루온 공항,,LKRA
Roudnice Airport,루트니체 공항,,LKRO
Ruzyne Airport,루이즈네 공항,PRG,LKPR
Sazena Airport,사제나 공항,,LKSZ
Skutec Airport,스쿠체 공항,,LKSK
Slany Airport,슬라니 공항,,LKSN
Sobeslav Airport,소베슬라프 공항,,LKSO
Stankov Airport,스탄코프 공항,,LKSA
Strakonice Airport,스트라코니체 공항,,LKST
Strunkovice Airport,스트런포비스 공항,,LKSR
Sumperk Airport,슘페르크 공항,,LKSU
Tabor Airport,타보르 공항,,LKTA
Tocna Airport,토츠나 공항,,LKTC
Touzim Airport,토우짐 공항,,LKTO
Turany Airport,튀라니 공항,BRQ,LKTB
Usti nad Orlici Airport,우스티나트오를리치 공항,,LKUO
Velke Porici Airport,벨케 포리치 공항,,LKVP
Vlasim Airport,블라심 공항,,LKVL
Vrchlabi Airport,브르흘라비 공항,,LKVR
Vyskov Airport,비슈코프 공항,,LKVY
Vysoke Myto Airport,비소케미토 공항,,LKVM
Zbraslavice Airport,즈브라슬라비스 공항,,LKZB
Aalborg Airport,올보르 공항,AAL,EKYT
Beldringe Airport,벨드링제 공항,ODE,EKOD
Berne Railway Station,베른 레일웨이 스테이션,ZJH,
Billund Airport,빌룬드 공항,BLL,EKBI
Bornholm Airport,본홀름 공항,RNN,EKRN
Bus Station,오르후스 버스 스테이션,ZIM,
Bus Station,오르후스 버스 스테이션,ZID,
Copenhagen  Railway Station,코펜하겐 레일웨이 스테이션,XJE,
Copenhagen Airport( Kastup ),코펜하겐 지역공항  ( 캐스럽 ),CPH,EKCH
Esbjerg  Railway Station,에스비에르 레일웨이 스테이션,ZBQ,
Esbjerg Airport,에스비에르 공항,EBJ,EKEB
Fredericia Rail Station,프레데리시아 레일 스테이션 (오프라인),ZBJ,
Herning Rail Station,허닝 레일스테이션 (오프라인),XAK,
Karup Airport,카루프 공항,KRP,EKKA
Kolding Rail Station,콜링 레일스테이션 (오프라인),ZBT,
Nyborg Rail Station,뉘보르 레일 스테이션 (오프라인),ZIB,
Odense  Railway Station,오덴스 레일웨이 스테이션,ZGH,
Randers Rail Station,란데르스 레일 스테이션 (오프라인),ZIR,
Roskilde Airport,로스카일데 공항,RKE,EKRK
Silkeborg Rail Station,실케보르 레일스테이션 (오프라인),XAH,
Sindal Airport,시날 공항,CNL,EKSN
Sjaelland Rail Station,스얄랜드 레일 스테이션 (오프라인),ZIJ,
Skive Airport,스키브 공항,SQW,EKSV
Skrydstrup Airport,스키리스트럽 공항,SKS,EKSP
Sonderborg Airport,손더보리 공항 (오프라인),SGD,EKSB
St Moritz Railway Station,생 모리츠 레일웨이 스테이션,ZTG,
Stauning Vestjylland Airport,스터우닝 베스쟈일란트 공항,STA,EKVJ
Svendborg Rail Station,스벤보르 공항 (오프라인),QXV,
Thisted Airport,티스테드 공항,TED,EKTS
Tirstrup Airport,터스럽 공항,AAR,EKAH
Vamdrup Airport,뱀드러프 공항,,EKVD
Vejle Rail Station,바일레 레일스테이션 (오프라인),XVX,
Viborg Rail Station,비보르 레일 스테이션 (오프라인),ZGX,
Amari Airport,아마리 공항,,EEEI
Kardla Airport,카르들라 공항,KDL,EEKA
Kihnu Airfield,키누 에어필드,,EEKU
Kuressaare Airport,쿠레사에레 공항,URE,EEKE
Narva Airfield,나르바 에어필드,,EENA
Parnu Airport,파누 공항,EPU,EEPU
Rapla Airfield,르풀라 에어필드,,EERA
Ridali Airfield,라이들리 에어필드,,EERI
Ruhnu Airfield,루누우 에어필드,,EERU
Lennart Meri Tallinn Airport (Ulemiste Airport),레나르 메리 탈린 공항  (윌레미스테 공항),TLL,EETN
Tapa Airfield,타파 에어필드,,EETA
Ulenurme Airport(Tartu Airport),율레뉘메 공항 (타르투 공항),TAY,EETU
Viljandi Airfield,빌잰디 에어필드,,EEVI
Vagar Airport,바가 공항,FAE,EKVG
Ahmosuo Airport,아모주어 공항,,EFAH
Alavus Airport,알래버스 공항,,EFAL
Enontekio Airport,에논테키외 공항,ENF,EFET
Eura Airport,율라 공항,,EFEU
Forssa Airport,포싸 공항,,EFFO
Halli Airport,할리 공항,KEV,EFHA
Hameenkyro Airport,해멘퀴뢰 공항,,EFHM
Hanko Airport (Hango Airport),항코 공항,,EFHN
Helsinki-Malmi Airport,헬싱키 말미 공항,HEM,EFHF
Helsinki-Vantaa Airport,헬싱키 반타 공항,HEL,EFHK
Hyvinkaa Airport,휘빈까아 공항,HYV,EFHV
Immola Airport,임몰라 공항,,EFIM
Ivalo Airport,이바로 공항,IVL,EFIV
Jamijarvi Airport,자미예르비 공항,,EFJM
Joensuu Airport,조엔수 공항,JOE,EFJO
Jyvaskyla Airport,지바스키라 공항,JYV,EFJY
Kajaani Airport,카야니 공항,KAJ,EFKI
Kalajoki Airport,칼라요키 공항,,EFKO
Kauhajoki Airport,코하호키 공항,KHJ,EFKJ
Kauhava Airport,코하바 공항,KAU,EFKA
Kemijarvi Airport,케미예르비 공항,,EFKM
Kemi-Tornio Airport,케미 토니오 공항,KEM,EFKE
Kiikala Airport,키아칼라 공항,,EFIK
Kitee Airport,키이티 공항,KTQ,EFIT
Kittila Airport,키틸라 공항,KTT,EFKT
Kiuruvesi Airport,키우루베시 공항,,EFRV
Kivijarvi Airport,키비아르비 공항,,EFKV
Kruunupyy Airport,쿠루누피 공항,KOK,EFKK
Kuopio Airport,쿠오피오 공항,KUO,EFKU
Kuusamo Airport,쿠사모 공항,KAO,EFKS
Kymi Airport,퀴미 공항,,EFKY
Lappeenranta Airport,라핀란타 공항,LPP,EFLP
llmajoki Airport,일마조키 공항,SJY,EFSI
Mariehamn Airport,메리함 공항,MHQ,EFMA
Menkijarvi Airport,멘케르비 공항,,EFME
Mikkeli Airport,미켈리 공항,MIK,EFMI
Nummela Airport,누멜라 공항,,EFNU
Oulu Airport,오울루 공항,OUL,EFOU
Pattijoki Airport,파티조키 공항,,EFRH
Pieksamaki Airport,피에사마키 공항,,EFPK
Piikajarvi Airport,피이카르비 공항,,EFPI
Pori Airport,포리 공항,POR,EFPO
Pudasjarvi Airport,푸다사르비 공항,,EFPU
Pyhasalmi Airport,피해살미 공항,,EFPY
Rantasalmi Airport,랜타살미 공항,,EFRN
Ranua Airport,래누아 공항,,EFRU
Rayskala Airport,레이스칼라 공항,,EFRY
Rovaniemi Airport,로바니미 공항,RVN,EFRO
Savonlinna Airport,사본리나 공항,SVL,EFSA
Selanpaa Airport,셀란파 공항,,EFSE
Sodankyla Airport,소단퀼레 공항,SOT,EFSO
Tampere-Pirkkala Airport,탐페레 피칼라 공항,TMP,EFTP
Teisko Airport,타이스코 공항,,EFTS
Turku Airport,투르쿠 공항,TKU,EFTU
Utti Airport,유트 공항,UTI,EFUT
Vaasa Airport,바사 공항,VAA,EFVA
Varkaus Airport,바카우스 공항,VRK,EFVR
Vesivehmaa Airport,베시베흠마 공항,,EFLA
Ylivieska Airport,일리베스카 공항,YLI,EFYL
Abbeville Airport,아브빌 공항,XAB,LFOI
Agora Helipad Airport,아고라 헬리패드 공항,JAH,
Aire-sur-l'Adour Airport,아이레 쉬라 도어 공항,,LFDA
Aix Les Milles Airport,액스레밀 공항,QXB,LFMA
Aix-en-Provence Airport,엑상프로방스 공항,QXB,LFMM
Albert - Bray Airport,앨버트 브라이 공항,BYF,LFAQ
Albertville Airport,앨버트빌 공항,XAV,LFKA
Alencon Valframbert Airport,알랑송 발프랑베르 공항,XAN,LFOF
Ales Deaux Airport,알레 뒤 공항,XAS,LFMS
Amberieu Airport,앙베리외 공항,,LFXA
Ambert Le Poyet Airport,앙베르 르 포예 공항,,LFHT
Amboise Dierre Airport,앙브와즈 디에르 공항,XAM,LFEF
Amiens - Glisy Airport,아미앵 글리시 공항,QAM,LFAY
Ancenis Airport,앵시니스 공항,,LFFI
Andernos-les-Bains Airport,안드레노스 레스 뱅 공항,,LFCD
Angers Marge Airport,앙제 마즈 공항,,LFJR
Angers Rail Station,앙제 레일 스테이션,QXG,
Annecy-Meythe Airport,안시 메이스 공항,NCY,LFLP
Annemasse Airport,안마스 공항,QNJ,LFLI
Antoine de Saint-Exupery Airport,안트완 데 생떽쥐베리 공항,LYS,LFLL
Arbois Airport,아르브와 공항,,LFGD
Arcachon La Teste-de-Buch Airport,아르카숑 라 테스트 데 부슈 공항,XAC,LFCH
Argentan Airport,아르장탕 공항,,LFAJ
Argenton-sur-Creuse Airport,아르젠톤 쉬르 크루즈 공항,,LFEG
Armor Airport,아머 공항,SBK,LFAZ
Arnage Airport,아르나쥐 공항,LME,LFRM
Arras Roclincourt Airport,아라스 로클랭쿠르 공항,QRV,LFQD
Aspres-sur-Buech Airport,아스프쉬부이쉬 공항,,LFNJ
Atlantique Airport,아틀란티끄 공항,NTE,LFRS
Aubenasson Airport,우베나쏭 공항,,LFJF
Aubigny-sur-Nere Airport,아비니 쉬 네르 공항,,LFEH
Auch Lamothe Airport,오슈 라모스 공항,,LFDH
Aurillac Airport,오리락 공항,AUR,LFLW
Autun Bellevue Airport,오툉 벨브르 공항,,LFQF
Auxerre Branches Airport,오세르 블랑슈 공항,AUF,LFLA
Avallon Airport,아발론 공항,,LFGE
Avignon Pujaut Airport,아비뇽 푸조 공항,,LFNT
Avignon-Caum Airport,아비뇽 코움 공항,AVN,LFMV
Avranches Le Val Saint-Pere Airport,아브랑슈 르발 생페레 공항,,LFRW
Bagneres-de-Luchon Airport,바그네르 드루손 공항,,LFCB
Bagnoles-de-l'Orne Airport,박뇰즈 데 로온 공항,,LFAO
Bailleau-Armenonville Airport,베일로 아르메논빌 공항,,LFFL
Barcelonnette Saint-Pons Airport,바르셀로넷 공항,BAE,LFMR
Bar-le-Duc Airport,바르? 공항,XBD,LFEU
Bar-sur-Seine Airport,바르쉬르센느 공항,,LFFR
Beaune Challanges Airport,본 샬랑제 공항,XBV,LFGF
Beauvais Airport (Tille),보배 공항 (틸르),BVA,LFOB
Le Bourget Airport,르부르제 공항,LBG,LFPB
Bedarieux La Tour-sur-Orb Airport,베다리의 라 투르쉬옵 공항,,LFNX
Belfort Chaux Airport,벨포르 쇼오 공항,,LFGG
Belle Ile Airport,벨일 공항,,LFEA
Bellegarde Vouvray Airport,벨르가르드 부브레이 공항,XBF,LFHN
Belleville Villie Morgon Airport,벨레빌 모곤 공항,,LFHW
Belley Peyrieu Airport,벨리 페이뢰 공항,,LFKY
Belves Saint-Pardoux Airport,벨브 생 파도 공항,,LFIB
Berck-sur-Mer Airport,베뤽 쉬메르 공항,,LFAM
Bernay Saint-Martin Airport,베르나이 생 마탱 공항,XBX,LFPD
Berre La Fare Airport,베르 라 파레 공항,,LFNR
Besancon La Veze Airport,브장송 라 베즈 공항,QBQ,LFQM
Beynes Thiverval Airport,베이네 티베르발 공항,,LFPF
Beziers-Vias Airport,베이지에르 비어스 공항,BZR,LFMU
Biard Airport,비어드 공항,PIS,LFBI
Biarritz-Parme Airport (Biarritz-Bayonne-Anglt ),"비아리츠 팜 공항 (바이리츠, 배욘 앙글트)",BIQ,LFBZ
Biscarrosse - Parentis Airport,비스카로쓰 페런티스 공항,,LFBS
Blois Le Breuil Airport,블루아 르 브뢰일 공항,XBQ,LFOQ
Vallee de Seine Airport (Boos Airport),발레 드 세느 공항 (부스공항),URO,LFOP
Bordeaux - Merignac Airport,보르도 메리낙 공항,BOD,LFBD
Bordeaux Leognan saucats Airport,보르도 리오그난 서캇츠 공항,,LFCS
Bordeaux Yvrac Airport,보르도 이브락 공항,,LFDY
Bourg Ceyzeriat Airport,부르 세쟈리앗 공항,,LFHS
Bourges Airport,부르지스 공항,BOU,LFLD
Saint Etienne - Boutheon Airport,상악타엔 부데온 공항,EBU,LFMH
Bretigny-sur-Orge Airport,브라타니쉬오즈 공항,,LFPY
Briare Chatillon Airport,브리아르 샤틸리온 공항,,LFEI
Brie-Champniers Airport,브리에 샹프니에 공항,ANG,LFBU
Brienne-le-Chateau Airport,브리앙 드 샤토 공항,,LFFN
Brioude Beaumont Airport,브리우드 보우먼 공항,,LFHR
Buno Bonnevaux Airport,부노 본느보 공항,,LFFB
Cahors Lalbenque Airport,카오르 공항,ZAO,LFCC
Calais - Dunkerque Airport,칼레 &#46125;케르크 공항,CQF,LFAC
Cambrai Epinoy Airport,캉브레 에피노이 공항,XCB,LFQI
Cambrai Niergnies Airport,캉브레 니에즈니 공항,,LFYG
Ajaccio Napoleon bonarparte Airport (formerly )(Ajaccio Campo dell'Oro Airport ),아작시오 나폴레옹 보나파르트 공항 (구> 아작시오 캄포 델 오로 공항),AJA,LFKJ
Carpentras Airport,카펜트라 공항,,LFNH
Carpiquet Airport,카르피께 공항,CFR,LFRK
Cassagnes Beghones Airport,카샥느즈 베곤스 공항,,LFIG
Castelnau Magnoac Airport,카스텔노 매그뇩 공항,,LFDQ
Castelnaudary Villeneuve Airport,캐스텔노더리 빌뉴브 공항,,LFMW
Castelsarrazin Moissac Airport,카스텔사라친 모이삭 공항,,LFCX
Cazeres Palaminy Airport,카제레스 팔라매니 공항,,LFJH
Cergy Pontoise Airport ( Pontoise Cormeilles en Vexin ),세르지 퐁트와즈 공항  ( 퐁트와즈 코르넬리장벡생 ),POX,LFPT
Chabeuil Airport,샤뵈이 공항,VAF,LFLU
Chalais Airport,샬레 공항,,LFIH
Chalon Champforgeuil Airport,샬롱 샹포질 공항,,LFLH
Chalons Ecury-sur-Coole Airport,살롱 에쿠리 쉬쿨 공항,,LFQK
Chalons Vatry Airport,샬롱 배트리 공항,XCR,LFOK
Chambery Aix-les-Bains Airport,샹베리 액스레뱅 공항,CMF,LFLB
Chambery Challes-les-Eaux Airport,샹베리 샤를레조 공항,,LFLE
Champagnole Crotenay Airport,샹파놀 크로트내 공항,,LFGX
Charles De Gaulle Airport,샤를 드 골 공항,CDG,LFPG
Charleville-Mezieres Airport,샤를레빌메지레 공항,XCZ,LFQV
Chartres Champhol Airport,샤르트르 샹폴 공항,QTJ,LFOR
Chateau-Arnoux Saint-Auban Airport,샤토아르노 생토뱅 공항,,LFMX
Chateaubriant Pouance Airport,샤토브리앙 푸앙세 공항,,LFTQ
Chateaudun Airport,샤토둔 공항,,LFOC
